time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2019-08-01T01:22:17.497Z,-19.7647,133.916,10,5.4,mb,,87,0.435,0.98,us,us60004yd0,2019-08-01T04:18:41.865Z,"32km WSW of Tennant Creek, Australia",earthquake,5.2,1.9,0.083,49,reviewed,us,us
2019-07-20T00:18:02.751Z,-18.0599,120.2139,10,4.6,mb,,86,3.511,1.2,us,us70004pg7,2019-07-21T02:10:52.413Z,"214km W of Broome, Australia",earthquake,8.7,2,0.244,5,reviewed,us,us
2019-07-19T09:21:27.941Z,-18.0691,120.2611,10,4.5,mb,,97,3.114,1.04,us,us70004nrm,2019-07-19T09:40:16.040Z,"209km W of Broome, Australia",earthquake,5.8,2,0.221,6,reviewed,us,us
2019-07-17T10:20:10.395Z,-18.4512,120.2778,10,4.5,mb,,84,2.742,1.18,us,us70004m50,2019-07-18T10:47:57.059Z,"213km WSW of Broome, Australia",earthquake,7.4,1.9,0.222,6,reviewed,us,us
2019-07-14T23:01:36.521Z,-18.2789,120.2809,10,5.1,mww,,28,2.911,0.73,us,us70004k8e,2019-07-15T22:53:23.116Z,"209km W of Broome, Australia",earthquake,6.7,1.7,0.071,19,reviewed,us,us
2019-07-14T15:58:32.648Z,-18.1689,120.3277,10,4.5,mb,,85,3.027,0.95,us,us70004k49,2019-07-24T16:38:10.040Z,"202km W of Broome, Australia",earthquake,6.8,1.9,0.221,7,reviewed,us,us
2019-07-14T10:58:00.218Z,-18.4311,120.4547,10,4.5,mb,,96,2.798,0.7,us,us70004k0j,2019-07-14T11:16:04.040Z,"195km WSW of Broome, Australia",earthquake,9.7,1.9,0.164,11,reviewed,us,us
2019-07-14T07:26:36.027Z,-18.0593,120.4412,10,4.9,mb,,42,3.155,0.76,us,us70004jy7,2019-07-14T13:35:25.603Z,"190km W of Broome, Australia",earthquake,6.3,1.9,0.1,31,reviewed,us,us
2019-07-14T05:39:24.186Z,-18.202,120.3368,10,6.6,mww,,30,2.996,1.1,us,us70004jxe,2019-07-17T23:25:36.869Z,"202km W of Broome, Australia",earthquake,7.1,1.8,0.069,20,reviewed,us,us
2019-07-02T19:51:46.470Z,-43.6772,123.8879,10,5.5,mww,,41,11.93,0.79,us,us700048vu,2019-07-03T19:55:44.244Z,"South of Australia",earthquake,9.6,1.7,0.073,18,reviewed,us,us
2019-06-20T14:30:06.493Z,-33.3459,119.5242,10,4.2,mb,,102,1.962,1.17,us,us600043pw,2019-07-20T16:28:43.040Z,"54km WNW of Ravensthorpe, Australia",earthquake,5.8,1.9,0.152,12,reviewed,us,us
2019-06-15T02:59:40.927Z,-21.4085,121.0848,15.69,4.4,mb,,79,1.165,1.1,us,us6000411a,2019-07-13T21:13:41.040Z,"257km NNE of Newman, Australia",earthquake,4.9,5.3,0.22,6,reviewed,us,us
2019-05-30T07:38:55.244Z,-21.2953,132.0098,10,4.4,mb,,67,2.563,1.35,us,us70003t2c,2019-06-20T09:58:49.040Z,"292km SW of Tennant Creek, Australia",earthquake,6.9,1.4,0.144,14,reviewed,us,us
2019-05-30T02:26:52.595Z,-21.3078,132.0076,10,4.9,mww,,40,2.593,0.65,us,us70003t0e,2019-06-28T02:56:17.050Z,"293km SW of Tennant Creek, Australia",earthquake,6.5,1.7,0.083,14,reviewed,us,us
2019-03-07T20:40:08.897Z,-17.6837,119.4086,10,4.4,mb,,106,3.47,0.95,us,us1000jgki,2019-05-24T21:21:39.040Z,"Northwest of Australia",earthquake,9.7,2,0.239,5,reviewed,us,us
2019-03-05T14:55:16.110Z,-14.0443,123.806,10,4.2,mb,,114,4.399,0.76,us,us1000jfjp,2019-05-24T21:21:36.040Z,"Northwest of Australia",earthquake,9.6,1.9,0.303,4,reviewed,us,us
2019-02-20T02:26:54.290Z,-15.5269,129.2734,10,4.3,mb,,141,0.514,0.75,us,us1000j9de,2019-05-11T17:40:30.040Z,"63km ENE of Kununurra, Australia",earthquake,4.8,2,0.238,5,reviewed,us,us
2019-02-01T08:28:16.760Z,-24.5219,113.0182,10,4.5,mb,,160,2.177,1.14,us,us2000jbqi,2019-04-18T19:09:28.040Z,"73km WNW of Carnarvon, Australia",earthquake,6,1.9,0.15,13,reviewed,us,us
2018-12-16T14:26:19.620Z,-23.3226,112.4979,10,5.8,mww,,43,1.737,0.76,us,us2000iu4a,2019-02-16T22:29:11.040Z,"206km NW of Carnarvon, Australia",earthquake,6,1.7,0.051,37,reviewed,us,us
2018-11-21T15:58:50.300Z,-33.2585,136.923,10,4.2,mb,,139,0.852,0.71,us,us1000hxfr,2019-02-02T20:02:31.040Z,"62km NE of Cleve, Australia",earthquake,7.4,1.9,0.215,7,reviewed,us,us
2018-11-08T21:07:01.300Z,-34.3508,116.8388,10,5.2,mww,,61,1.458,0.97,us,us1000hpej,2019-01-21T16:42:51.040Z,"64km ESE of Manjimup, Australia",earthquake,4.4,1.8,0.089,12,reviewed,us,us
2018-10-12T16:31:30.360Z,-34.3495,116.8696,10,4.5,mb,,151,1.451,1.26,us,us1000hb52,2018-12-21T21:15:50.040Z,"62km SSW of Kojonup, Australia",earthquake,7.9,1.9,0.121,20,reviewed,us,us
2018-09-16T04:56:25.520Z,-34.3146,116.759,10,5.3,mww,,42,1.44,1.39,us,us2000hfcw,2018-11-21T18:19:12.040Z,"56km E of Manjimup, Australia",earthquake,8.8,1.7,0.083,14,reviewed,us,us
2018-09-14T21:51:47.260Z,-32.3666,150.801,10,3.9,mb,,186,2.067,0.39,us,us2000hg1x,2018-11-21T18:19:13.040Z,"11km E of Denman, Australia",earthquake,10.1,2,0.258,4,reviewed,us,us
2018-08-15T16:45:34.970Z,-31.2533,111.498,10,4.3,mb,,197,4.255,0.9,us,us1000gekr,2018-10-27T16:22:08.040Z,"West of Australia",earthquake,8.8,2,0.169,10,reviewed,us,us
2018-08-11T19:44:42.450Z,-41.4447,119.9841,10,4.4,mb,,125,7.989,0.61,us,us1000gaiz,2018-10-17T18:11:56.040Z,"South of Australia",earthquake,7.9,1.9,0.155,12,reviewed,us,us
2018-08-08T14:19:15.940Z,-32.3586,122.4347,10.35,4.1,mb,,84,4.419,0.73,us,us1000g5gz,2018-10-17T18:11:58.040Z,"174km NNE of Esperance, Australia",earthquake,7.2,6.3,0.184,8,reviewed,us,us
2018-08-08T11:01:39.000Z,-34.877,139.184,13,3.2,ml,,,,0.2,us,us1000g5at,2018-10-17T18:11:56.040Z,"12km WNW of Mannum, Australia",earthquake,8.5,4.7,,,reviewed,aust,aust
2018-07-23T13:48:30.160Z,-35.9718,144.2409,10,3,ml,,144,1.885,1.14,us,us2000gc5e,2018-10-09T16:43:32.040Z,"49km WNW of Echuca, Australia",earthquake,9.1,2,0.148,6,reviewed,us,us
2018-07-09T12:45:32.590Z,-33.1295,138.5629,8.55,3.3,ml,,148,2.128,1.27,us,us2000g0qi,2018-10-02T16:40:31.040Z,"8km NNW of Jamestown, Australia",earthquake,8.4,7.5,0.256,2,reviewed,us,us
2018-07-01T02:27:39.470Z,-33.618,136.7729,10,3.9,ml,,167,1.003,0.39,us,us2000ftar,2018-09-21T16:25:58.040Z,"26km ENE of Cleve, Australia",earthquake,8,2,0.256,2,reviewed,us,us
2018-06-20T02:54:32.190Z,-32.413,122.4811,8.11,4.5,mb,,74,4.45,0.69,us,us1000ew2s,2018-09-19T15:15:50.040Z,"170km NNE of Esperance, Australia",earthquake,7.3,4.5,0.145,14,reviewed,us,us
2018-06-18T06:26:49.110Z,-26.0891,121.5452,10,4.5,mb,,58,4.757,0.93,us,us1000eu88,2018-09-19T15:15:47.040Z,"294km NNW of Laverton, Australia",earthquake,8.6,1.9,0.18,9,reviewed,us,us
2018-06-03T06:58:29.660Z,-42.5481,124.6437,10,4.4,mb,,133,12.061,0.55,us,us1000ehqm,2018-08-28T16:30:39.040Z,"South of Australia",earthquake,6.9,1.9,0.12,20,reviewed,us,us
