,x
1,8.879048707
2,9.539645021
3,6.882583372
4,9.858983217
5,9.74142453
6,6.569870026
7,9.078167588
8,7.469877531
9,8.626294296
10,9.10867606
11,7.551836405
12,9.280372346
13,9.198457099
14,9.778634568
15,8.88831773
16,6.426173726
17,9.004299044
18,6.066765687
19,8.597288197
20,9.054417185
21,7.864352588
22,9.564050171
23,7.947991103
24,8.542217541
25,8.749921464
26,6.626613379
27,8.324425911
28,9.693253764
29,7.723726126
30,7.492370158
31,9.147071557
32,9.409857034
33,8.209748678
34,8.243733025
35,8.356837837
36,8.622719492
37,8.892164693
38,9.876176579
39,9.388074673
40,9.239057998
41,8.610586042
42,9.584165444
43,7.469207297
44,5.662088069
45,7.584076003
46,7.753782834
47,9.194230329
48,9.066689293
49,8.440069763
50,9.833261867
51,9.493362972
52,10.05709351
53,9.914259085
54,7.262795432
55,9.548458029
56,6.967058791
57,6.902494392
58,8.830772501
59,9.752291512
60,9.568116863
61,9.240721034
62,8.995353094
63,9.333585233
64,7.962849234
65,7.856417547
66,9.392942717
67,9.103580443
68,9.893991547
69,8.155465064
70,5.899830629
71,9.017937668
72,5.381662249
73,7.988522951
74,8.581598475
75,8.623982767
76,7.948857261
77,9.430453986
78,7.558564575
79,9.637393041
80,9.722217275
81,10.01152837
82,9.229439198
83,9.258679936
84,8.711246903
85,9.559026876
86,9.336436072
87,7.806321974
88,9.129637018
89,9.348136829
90,7.702384763
91,8.012992288
92,8.903206081
93,9.52253653
94,8.744187848
95,7.278695103
96,8.799480826
97,5.625334014
98,6.934778748
99,9.528599282
100,7.947158199
